home_team,away_team,home_score,home_penalty,away_score,away_penalty,home_manager,home_captain,away_manager,away_captain,Attendance,Venue,Round,Date,Referee,Host,Year
Germany,Costa Rica,4,,2,,Jürgen Klinsmann,,Alexandre Guimarães,,64950,Allianz Arena- München,Group stage,38877,,Germany,2006
Poland,Ecuador,0,,2,,Paweł Janas,,Luis Fernando Suárez,,52000,Veltins-Arena- Gelsenkirchen,Group stage,38877,,Germany,2006
Germany,Brazil,0,,2,,Rudi Völler,,Luiz Felipe Scolari,,69029,Nissan Stadium- Yokohama,Final,37437,,Korea Republic- Japan,2002
Korea Republic,Türkiye,2,,3,,Guus Hiddink,,Şenol Güneş,,63483,Daegu Main Stadium- Daegu,Third-place match,37436,,Korea Republic- Japan,2002
Brazil,Türkiye,1,,0,,Luiz Felipe Scolari,,Şenol Güneş,,61058,Saitama Stadium 2002- Saitama,Semi-finals,37433,,Korea Republic- Japan,2002
Germany,Korea Republic,1,,0,,Rudi Völler,,Guus Hiddink,,65625,Seoul World Cup Stadium- Seoul,Semi-finals,37432,,Korea Republic- Japan,2002
Spain,Korea Republic,0,3,0,5,José Antonio Camacho,,Guus Hiddink,,42114,Guus Hiddink Stadium- Gwangju,Quarter-finals,37429,,Korea Republic- Japan,2002
Senegal,Türkiye,0,,1,,Bruno Metsu,,Şenol Güneş,,44233,Yanmar Stadium Nagai- Osaka,Quarter-finals,37429,,Korea Republic- Japan,2002
England,Brazil,1,,2,,Sven-Göran Eriksson,,Luiz Felipe Scolari,,47436,Daejeon World Cup Stadium- Daejeon,Quarter-finals,37428,,Korea Republic- Japan,2002
Germany,United States,1,,0,,Rudi Völler,,Bruce Arena,,37337,Munsu Cup Stadium- Ulsan,Quarter-finals,37428,,Korea Republic- Japan,2002
Japan,Türkiye,0,,1,,Philippe Troussier,,Şenol Güneş,,45666,Miyagi Stadium- Rifu,Round of 16,37425,,Korea Republic- Japan,2002
Korea Republic,Italy,2,,1,,Guus Hiddink,,Giovanni Trapattoni,,38588,Daejeon World Cup Stadium- Daejeon,Round of 16,37425,,Korea Republic- Japan,2002
Mexico,United States,0,,2,,Javier Aguirre,,Bruce Arena,,36380,Jeonju World Cup Stadium- Jeonju,Round of 16,37424,,Korea Republic- Japan,2002
Brazil,Belgium,2,,0,,Luiz Felipe Scolari,,Robert Waseige,,40440,NOEVIR Stadium Kobe- Kobe,Round of 16,37424,,Korea Republic- Japan,2002
Sweden,Senegal,1,,2,,Lars Lagerbäck,,Bruno Metsu,,39747,Ōita Bank Dome- Ōita,Round of 16,37423,,Korea Republic- Japan,2002
Spain,Republic of Ireland,1,3,1,2,José Antonio Camacho,,Mick McCarthy,,38926,Suwon World Cup Stadium- Suwon,Round of 16,37423,,Korea Republic- Japan,2002
Germany,Paraguay,1,,0,,Rudi Völler,,Cesare Maldini,,25176,Jeju World Cup Stadium- Jeju,Round of 16,37422,,Korea Republic- Japan,2002
Denmark,England,0,,3,,Morten Olsen,,Sven-Göran Eriksson,,40582,Denka Big Swan Stadium- Niigata,Round of 16,37422,,Korea Republic- Japan,2002
Tunisia,Japan,0,,2,,Ammar Souayah,,Philippe Troussier,,45213,Yanmar Stadium Nagai- Osaka,Group stage,37421,,Korea Republic- Japan,2002
Belgium,Russia,3,,2,,Robert Waseige,,Oleg Romantsev,,46640,Shizuoka Stadium Ecopa- Fukuroi,Group stage,37421,,Korea Republic- Japan,2002
Portugal,Korea Republic,0,,1,,António Luís Alves Ribeiro Oliveira,,Guus Hiddink,,50239,Incheon Munhak Stadium- Incheon,Group stage,37421,,Korea Republic- Japan,2002
Poland,United States,3,,1,,Jerzy Engel,,Bruce Arena,,26482,Daejeon World Cup Stadium- Daejeon,Group stage,37421,,Korea Republic- Japan,2002
Costa Rica,Brazil,2,,5,,Alexandre Guimarães,,Luiz Felipe Scolari,,38524,Suwon World Cup Stadium- Suwon,Group stage,37420,,Korea Republic- Japan,2002
Türkiye,China PR,3,,0,,Şenol Güneş,,Bora Milutinović,,43605,Seoul World Cup Stadium- Seoul,Group stage,37420,,Korea Republic- Japan,2002
Mexico,Italy,1,,1,,Javier Aguirre,,Giovanni Trapattoni,,39291,Ōita Bank Dome- Ōita,Group stage,37420,,Korea Republic- Japan,2002
Ecuador,Croatia,1,,0,,Hernán Darío Gómez,,Mirko Jozić,,65862,Nissan Stadium- Yokohama,Group stage,37420,,Korea Republic- Japan,2002
Sweden,Argentina,1,,1,,Lars Lagerbäck,,Marcelo Bielsa,,45777,Miyagi Stadium- Rifu,Group stage,37419,,Korea Republic- Japan,2002
Nigeria,England,0,,0,,Festus Onigbinde,,Sven-Göran Eriksson,,44864,Yanmar Stadium Nagai- Osaka,Group stage,37419,,Korea Republic- Japan,2002
South Africa,Spain,2,,3,,Jomo Sono,,José Antonio Camacho,,31024,Daejeon World Cup Stadium- Daejeon,Group stage,37419,,Korea Republic- Japan,2002
Slovenia,Paraguay,1,,3,,Srečko Katanec,,Cesare Maldini,,30176,Jeju World Cup Stadium- Jeju,Group stage,37419,,Korea Republic- Japan,2002
Denmark,France,2,,0,,Morten Olsen,,Roger Lemerre,,48100,Incheon Munhak Stadium- Incheon,Group stage,37418,,Korea Republic- Japan,2002
Senegal,Uruguay,3,,3,,Bruno Metsu,,Víctor Púa,,33681,Suwon World Cup Stadium- Suwon,Group stage,37418,,Korea Republic- Japan,2002
Saudi Arabia,Republic of Ireland,0,,3,,Nasser Al-Johar,,Mick McCarthy,,65320,Nissan Stadium- Yokohama,Group stage,37418,,Korea Republic- Japan,2002
Cameroon,Germany,0,,2,,Winfried Schäfer,,Rudi Völler,,47085,Shizuoka Stadium Ecopa- Fukuroi,Group stage,37418,,Korea Republic- Japan,2002
Korea Republic,United States,1,,1,,Guus Hiddink,,Bruce Arena,,60778,Daegu Main Stadium- Daegu,Group stage,37417,,Korea Republic- Japan,2002
Tunisia,Belgium,1,,1,,Ammar Souayah,,Robert Waseige,,39700,Ōita Bank Dome- Ōita,Group stage,37417,,Korea Republic- Japan,2002
Portugal,Poland,4,,0,,António Luís Alves Ribeiro Oliveira,,Jerzy Engel,,31000,Jeonju World Cup Stadium- Jeonju,Group stage,37417,,Korea Republic- Japan,2002
Mexico,Ecuador,2,,1,,Javier Aguirre,,Hernán Darío Gómez,,45610,Sapporo Dome- Sapporo,Group stage,37416,,Korea Republic- Japan,2002
Costa Rica,Türkiye,1,,1,,Alexandre Guimarães,,Şenol Güneş,,42299,Incheon Munhak Stadium- Incheon,Group stage,37416,,Korea Republic- Japan,2002
Japan,Russia,1,,0,,Philippe Troussier,,Oleg Romantsev,,66108,Nissan Stadium- Yokohama,Group stage,37416,,Korea Republic- Japan,2002
South Africa,Slovenia,1,,0,,Jomo Sono,,Srečko Katanec,,47226,Daegu Main Stadium- Daegu,Group stage,37415,,Korea Republic- Japan,2002
Italy,Croatia,1,,2,,Giovanni Trapattoni,,Mirko Jozić,,36472,Kashima Soccer Stadium- Kashima,Group stage,37415,,Korea Republic- Japan,2002
Brazil,China PR,4,,0,,Luiz Felipe Scolari,,Bora Milutinović,,36750,Jeju World Cup Stadium- Jeju,Group stage,37415,,Korea Republic- Japan,2002
Sweden,Nigeria,2,,1,,Tommy Söderberg,,Festus Onigbinde,,36194,NOEVIR Stadium Kobe- Kobe,Group stage,37414,,Korea Republic- Japan,2002
Spain,Paraguay,3,,1,,José Antonio Camacho,,Cesare Maldini,,24000,Jeonju World Cup Stadium- Jeonju,Group stage,37414,,Korea Republic- Japan,2002
Argentina,England,0,,1,,Marcelo Bielsa,,Sven-Göran Eriksson,,35927,Sapporo Dome- Sapporo,Group stage,37414,,Korea Republic- Japan,2002
Denmark,Senegal,1,,1,,Morten Olsen,,Bruno Metsu,,43500,Daegu Main Stadium- Daegu,Group stage,37413,,Korea Republic- Japan,2002
Cameroon,Saudi Arabia,1,,0,,Winfried Schäfer,,Nasser Al-Johar,,52328,Saitama Stadium 2002- Saitama,Group stage,37413,,Korea Republic- Japan,2002
France,Uruguay,0,,0,,Roger Lemerre,,Víctor Púa,,38070,Busan Sport Complex Asiad Stadium- Busan,Group stage,37413,,Korea Republic- Japan,2002
Russia,Tunisia,2,,0,,Oleg Romantsev,,Ammar Souayah,,30957,NOEVIR Stadium Kobe- Kobe,Group stage,37412,,Korea Republic- Japan,2002
United States,Portugal,3,,2,,Bruce Arena,,António Luís Alves Ribeiro Oliveira,,37306,Suwon World Cup Stadium- Suwon,Group stage,37412,,Korea Republic- Japan,2002
Germany,Republic of Ireland,1,,1,,Rudi Völler,,Mick McCarthy,,35854,Kashima Soccer Stadium- Kashima,Group stage,37412,,Korea Republic- Japan,2002
China PR,Costa Rica,0,,2,,Bora Milutinović,,Alexandre Guimarães,,27217,Guus Hiddink Stadium- Gwangju,Group stage,37411,,Korea Republic- Japan,2002
Japan,Belgium,2,,2,,Philippe Troussier,,Robert Waseige,,55256,Saitama Stadium 2002- Saitama,Group stage,37411,,Korea Republic- Japan,2002
Korea Republic,Poland,2,,0,,Guus Hiddink,,Jerzy Engel,,48760,Busan Sport Complex Asiad Stadium- Busan,Group stage,37411,,Korea Republic- Japan,2002
Croatia,Mexico,0,,1,,Mirko Jozić,,Javier Aguirre,,32239,Denka Big Swan Stadium- Niigata,Group stage,37410,,Korea Republic- Japan,2002
Brazil,Türkiye,2,,1,,Luiz Felipe Scolari,,Şenol Güneş,,33842,Munsu Cup Stadium- Ulsan,Group stage,37410,,Korea Republic- Japan,2002
Italy,Ecuador,2,,0,,Giovanni Trapattoni,,Hernán Darío Gómez,,31081,Sapporo Dome- Sapporo,Group stage,37410,,Korea Republic- Japan,2002
Argentina,Nigeria,1,,0,,Marcelo Bielsa,,Festus Onigbinde,,34050,Kashima Soccer Stadium- Kashima,Group stage,37409,,Korea Republic- Japan,2002
Paraguay,South Africa,2,,2,,Cesare Maldini,,Jomo Sono,,25186,Busan Sport Complex Asiad Stadium- Busan,Group stage,37409,,Korea Republic- Japan,2002
England,Sweden,1,,1,,Sven-Göran Eriksson,,Tommy Söderberg,,52721,Saitama Stadium 2002- Saitama,Group stage,37409,,Korea Republic- Japan,2002
Spain,Slovenia,3,,1,,José Antonio Camacho,,Srečko Katanec,,28588,Guus Hiddink Stadium- Gwangju,Group stage,37409,,Korea Republic- Japan,2002
Republic of Ireland,Cameroon,1,,1,,Mick McCarthy,,Winfried Schäfer,,33679,Denka Big Swan Stadium- Niigata,Group stage,37408,,Korea Republic- Japan,2002
Uruguay,Denmark,1,,2,,Víctor Púa,,Morten Olsen,,30157,Munsu Cup Stadium- Ulsan,Group stage,37408,,Korea Republic- Japan,2002
Germany,Saudi Arabia,8,,0,,Rudi Völler,,Nasser Al-Johar,,32218,Sapporo Dome- Sapporo,Group stage,37408,,Korea Republic- Japan,2002
France,Senegal,0,,1,,Roger Lemerre,,Bruno Metsu,,62561,Seoul World Cup Stadium- Seoul,Group stage,37407,,Korea Republic- Japan,2002
Brazil,France,0,,3,,Mário Zagallo,,Aimé Jacquet,,80000,Stade de France- Paris,Final,35988,,France,1998
Netherlands,Croatia,1,,2,,Guus Hiddink,,Miroslav Blažević,,44000,Parc des Princes- Paris,Third-place match,35987,,France,1998
France,Croatia,2,,1,,Aimé Jacquet,,Miroslav Blažević,,80000,Stade de France- Paris,Semi-finals,35984,,France,1998
Brazil,Netherlands,1,4,1,2,Mário Zagallo,,Guus Hiddink,,60000,Orange Vélodrome- Marseille,Semi-finals,35983,,France,1998
Netherlands,Argentina,2,,1,,Guus Hiddink,,Daniel Passarella,,60000,Orange Vélodrome- Marseille,Quarter-finals,35980,,France,1998
Germany,Croatia,0,,3,,Berti Vogts,,Miroslav Blažević,,43300,Matmut Stadium de Gerland- Lyon,Quarter-finals,35980,,France,1998
Italy,France,0,3,0,4,Cesare Maldini,,Aimé Jacquet,,80000,Stade de France- Paris,Quarter-finals,35979,,France,1998
Brazil,Denmark,3,,2,,Mário Zagallo,,Bo Johansson,,49500,Stade de la Beaujoire - Louis Fonteneau- Nantes,Quarter-finals,35979,,France,1998
Romania,Croatia,0,,1,,Anghel Iordănescu,,Miroslav Blažević,,31800,Stade Jacques Chaban-Delmas- Bordeaux,Round of 16,35976,,France,1998
Argentina,England,2,4,2,3,Daniel Passarella,,Glenn Hoddle,,30600,Stade Geoffroy-Guichard- Saint-Étienne,Round of 16,35976,,France,1998
Germany,Mexico,2,,1,,Berti Vogts,,Manuel Lapuente,,29800,Stade de la Mosson- Montpellier,Round of 16,35975,,France,1998
Netherlands,FR Yugoslavia,2,,1,,Guus Hiddink,,Slobodan Santrač,,33000,Stadium Municipal- Toulouse,Round of 16,35975,,France,1998
France,Paraguay,1,,0,,Aimé Jacquet,,Paulo César Carpegiani,,31800,Stade Bollaert-Delelis- Lens,Round of 16,35974,,France,1998
Nigeria,Denmark,1,,4,,Bora Milutinović,,Bo Johansson,,77000,Stade de France- Paris,Round of 16,35974,,France,1998
Italy,Norway,1,,0,,Cesare Maldini,,Egil Olsen,,55000,Orange Vélodrome- Marseille,Round of 16,35973,,France,1998
Brazil,Chile,4,,1,,Mário Zagallo,,Nelson Acosta,,45500,Parc des Princes- Paris,Round of 16,35973,,France,1998
Argentina,Croatia,1,,0,,Daniel Passarella,,Miroslav Blažević,,31800,Stade Jacques Chaban-Delmas- Bordeaux,Group stage,35972,,France,1998
Japan,Jamaica,1,,2,,Takeshi Okada,,René Simões,,39100,Matmut Stadium de Gerland- Lyon,Group stage,35972,,France,1998
Romania,Tunisia,1,,1,,Anghel Iordănescu,,Ali Selmi,,80000,Stade de France- Paris,Group stage,35972,,France,1998
Colombia,England,0,,2,,Hernán Darío Gómez,,Glenn Hoddle,,42000,Stade Bollaert-Delelis- Lens,Group stage,35972,,France,1998
Netherlands,Mexico,2,,2,,Guus Hiddink,,Manuel Lapuente,,30600,Stade Geoffroy-Guichard- Saint-Étienne,Group stage,35971,,France,1998
Belgium,Korea Republic,1,,1,,Georges Leekens,,Kim Pyung-seok,,45500,Parc des Princes- Paris,Group stage,35971,,France,1998
United States,FR Yugoslavia,0,,1,,Steve Sampson,,Slobodan Santrač,,38500,Stade de la Beaujoire - Louis Fonteneau- Nantes,Group stage,35971,,France,1998
Germany,IR Iran,2,,0,,Berti Vogts,,Jalal Talebi,,35500,Stade de la Mosson- Montpellier,Group stage,35971,,France,1998
South Africa,Saudi Arabia,2,,2,,Philippe Troussier,,Mohammed Al-Kharashy,,31800,Stade Jacques Chaban-Delmas- Bordeaux,Group stage,35970,,France,1998
France,Denmark,2,,1,,Aimé Jacquet,,Bo Johansson,,39100,Matmut Stadium de Gerland- Lyon,Group stage,35970,,France,1998
Spain,Bulgaria,6,,1,,Javier Clemente,,Hristo Bonev,,41275,Stade Bollaert-Delelis- Lens,Group stage,35970,,France,1998
Nigeria,Paraguay,1,,3,,Bora Milutinović,,Paulo César Carpegiani,,33400,Stadium Municipal- Toulouse,Group stage,35970,,France,1998
Italy,Austria,2,,1,,Cesare Maldini,,Herbert Prohaska,,80000,Stade de France- Paris,Group stage,35969,,France,1998
Chile,Cameroon,1,,1,,Nelson Acosta,,Claude Le Roy,,39500,Stade de la Beaujoire - Louis Fonteneau- Nantes,Group stage,35969,,France,1998
Brazil,Norway,1,,2,,Mário Zagallo,,Egil Olsen,,57000,Orange Vélodrome- Marseille,Group stage,35969,,France,1998
Scotland,Morocco,0,,3,,Craig Brown,,Henri Michel,,36000,Stade Geoffroy-Guichard- Saint-Étienne,Group stage,35969,,France,1998
Colombia,Tunisia,1,,0,,Hernán Darío Gómez,,Henryk Kasperczak,,35500,Stade de la Mosson- Montpellier,Group stage,35968,,France,1998
Romania,England,2,,1,,Anghel Iordănescu,,Glenn Hoddle,,33140,Stadium Municipal- Toulouse,Group stage,35968,,France,1998
Germany,FR Yugoslavia,2,,2,,Berti Vogts,,Slobodan Santrač,,41275,Stade Bollaert-Delelis- Lens,Group stage,35967,,France,1998
Argentina,Jamaica,5,,0,,Daniel Passarella,,René Simões,,45500,Parc des Princes- Paris,Group stage,35967,,France,1998
United States,IR Iran,1,,2,,Steve Sampson,,Jalal Talebi,,43300,Matmut Stadium de Gerland- Lyon,Group stage,35967,,France,1998
Japan,Croatia,0,,1,,Takeshi Okada,,Miroslav Blažević,,35500,Stade de la Beaujoire - Louis Fonteneau- Nantes,Group stage,35966,,France,1998
Belgium,Mexico,2,,2,,Georges Leekens,,Manuel Lapuente,,31800,Stade Jacques Chaban-Delmas- Bordeaux,Group stage,35966,,France,1998
Netherlands,Korea Republic,5,,0,,Guus Hiddink,,Cha Bum-kun,,55000,Orange Vélodrome- Marseille,Group stage,35966,,France,1998
Nigeria,Bulgaria,1,,0,,Bora Milutinović,,Hristo Bonev,,48000,Parc des Princes- Paris,Group stage,35965,,France,1998
Spain,Paraguay,0,,0,,Javier Clemente,,Paulo César Carpegiani,,36000,Stade Geoffroy-Guichard- Saint-Étienne,Group stage,35965,,France,1998
South Africa,Denmark,1,,1,,Philippe Troussier,,Bo Johansson,,33500,Stadium Municipal- Toulouse,Group stage,35964,,France,1998
France,Saudi Arabia,4,,0,,Aimé Jacquet,,Carlos Alberto Parreira,,80000,Stade de France- Paris,Group stage,35964,,France,1998
Chile,Austria,1,,1,,Nelson Acosta,,Herbert Prohaska,,36000,Stade Geoffroy-Guichard- Saint-Étienne,Group stage,35963,,France,1998
Italy,Cameroon,3,,0,,Cesare Maldini,,Claude Le Roy,,35500,Stade de la Mosson- Montpellier,Group stage,35963,,France,1998
Scotland,Norway,1,,1,,Craig Brown,,Egil Olsen,,31800,Stade Jacques Chaban-Delmas- Bordeaux,Group stage,35962,,France,1998
Brazil,Morocco,3,,0,,Mário Zagallo,,Henri Michel,,38500,Stade de la Beaujoire - Louis Fonteneau- Nantes,Group stage,35962,,France,1998
England,Tunisia,2,,0,,Glenn Hoddle,,Henryk Kasperczak,,54587,Orange Vélodrome- Marseille,Group stage,35961,,France,1998
Romania,Colombia,1,,0,,Anghel Iordănescu,,Hernán Darío Gómez,,43300,Matmut Stadium de Gerland- Lyon,Group stage,35961,,France,1998
Germany,United States,2,,0,,Berti Vogts,,Steve Sampson,,49000,Parc des Princes- Paris,Group stage,35961,,France,1998
Argentina,Japan,1,,0,,Daniel Passarella,,Takeshi Okada,,33500,Stadium Municipal- Toulouse,Group stage,35960,,France,1998
FR Yugoslavia,IR Iran,1,,0,,Slobodan Santrač,,Jalal Talebi,,36000,Stade Geoffroy-Guichard- Saint-Étienne,Group stage,35960,,France,1998
Jamaica,Croatia,1,,3,,René Simões,,Miroslav Blažević,,38100,Stade Bollaert-Delelis- Lens,Group stage,35960,,France,1998
Spain,Nigeria,2,,3,,Javier Clemente,,Bora Milutinović,,38000,Stade de la Beaujoire - Louis Fonteneau- Nantes,Group stage,35959,,France,1998
Korea Republic,Mexico,1,,3,,Cha Bum-kun,,Manuel Lapuente,,39100,Matmut Stadium de Gerland- Lyon,Group stage,35959,,France,1998
Netherlands,Belgium,0,,0,,Guus Hiddink,,Georges Leekens,,77000,Stade de France- Paris,Group stage,35959,,France,1998
Paraguay,Bulgaria,0,,0,,Paulo César Carpegiani,,Hristo Bonev,,27650,Stade de la Mosson- Montpellier,Group stage,35958,,France,1998
Saudi Arabia,Denmark,0,,1,,Carlos Alberto Parreira,,Bo Johansson,,38100,Stade Bollaert-Delelis- Lens,Group stage,35958,,France,1998
France,South Africa,3,,0,,Aimé Jacquet,,Philippe Troussier,,55000,Orange Vélodrome- Marseille,Group stage,35958,,France,1998
Italy,Chile,2,,2,,Cesare Maldini,,Nelson Acosta,,35200,Stade Jacques Chaban-Delmas- Bordeaux,Group stage,35957,,France,1998
Cameroon,Austria,1,,1,,Claude Le Roy,,Herbert Prohaska,,36500,Stadium Municipal- Toulouse,Group stage,35957,,France,1998
Brazil,Scotland,2,,1,,Mário Zagallo,,Craig Brown,,80000,Stade de France- Paris,Group stage,35956,,France,1998
Morocco,Norway,2,,2,,Henri Michel,,Egil Olsen,,29750,Stade de la Mosson- Montpellier,Group stage,35956,,France,1998
Brazil,Italy,0,3,0,2,Carlos Alberto Parreira,Dunga,Arrigo Sacchi,Franco Baresi,94194,Rose Bowl- Los Angeles,Final,34532,Sandor Puhl,United States,1994
Sweden,Bulgaria,4,,0,,Tommy Svensson,Roland Nilsson,Dimitar Penev,Borislav Mikhailov,91500,Rose Bowl- Los Angeles,Third-place match,34531,Ali Bujsaim,United States,1994
Bulgaria,Italy,1,,2,,Dimitar Penev,Borislav Mikhailov,Arrigo Sacchi,Paolo Maldini,74110,Giants Stadium- New York/New Jersey,Semi-finals,34528,Joel Quiniou,United States,1994
Sweden,Brazil,0,,1,,Tommy Svensson,Jonas Thern,Carlos Alberto Parreira,Dunga,91856,Rose Bowl- Los Angeles,Semi-finals,34528,Jose Joaquin Torres Cadena,United States,1994
Bulgaria,Germany,2,,1,,Dimitar Penev,Borislav Mikhailov,Berti Vogts,Lothar Matthäus,72000,Giants Stadium- New York/New Jersey,Quarter-finals,34525,Jose Joaquin Torres Cadena,United States,1994
Romania,Sweden,2,4,2,5,Anghel Iordanescu,Gheorghe Hagi,Tommy Svensson,Roland Nilsson,83500,Stanford Stadium- San Francisco,Quarter-finals,34525,Philip Don,United States,1994
Italy,Spain,2,,1,,Arrigo Sacchi,Paolo Maldini,Javier Clemente,Andoni Zubizarreta,53400,Foxboro Stadium- Boston,Quarter-finals,34524,Sandor Puhl,United States,1994
Netherlands,Brazil,2,,3,,Dick Advocaat,Ronald Koeman,Carlos Alberto Parreira,Dunga,63500,Cotton Bowl- Dallas,Quarter-finals,34524,Rodrigo Badilla,United States,1994
Nigeria,Italy,1,,2,,Clemens Westerhof,Peter Rufai,Arrigo Sacchi,Paolo Maldini,54367,Foxboro Stadium- Boston,Round of 16,34520,Arturo Brizio Carter,United States,1994
Mexico,Bulgaria,1,1,1,3,Miguel Mejia Baron,Ignacio Ambríz,Dimitar Penev,Borislav Mikhailov,71030,Giants Stadium- New York/New Jersey,Round of 16,34520,Jamal Al Sharif,United States,1994
Netherlands,Republic of Ireland,2,,0,,Dick Advocaat,Ronald Koeman,Jack Charlton,Andy Townsend,61355,Citrus Bowl- Orlando,Round of 16,34519,Peter Mikkelsen,United States,1994
Brazil,United States,1,,0,,Carlos Alberto Parreira,Dunga,Bora Milutinovic,Tony Meola,84147,Stanford Stadium- San Francisco,Round of 16,34519,Joel Quiniou,United States,1994
Saudi Arabia,Sweden,1,,3,,Jorge Solari,Mohamed Al-Jawad,Tommy Svensson,Jonas Thern,60277,Cotton Bowl- Dallas,Round of 16,34518,Renato Marsiglia,United States,1994
Romania,Argentina,3,,2,,Anghel Iordanescu,Gheorghe Hagi,Alfio Basile,Oscar Ruggeri,90469,Rose Bowl- Los Angeles,Round of 16,34518,Pierluigi Pairetto,United States,1994
Germany,Belgium,3,,2,,Berti Vogts,Lothar Matthäus,Paul Van Himst,Georges Grün,60246,Soldier Field- Chicago,Round of 16,34517,Kurt Roethlisberger,United States,1994
Spain,Switzerland,3,,0,,Javier Clemente,Andoni Zubizarreta,Roy Hodgson,Alain Geiger,53121,RFK Stadium- Washington Dc,Round of 16,34517,Mario Van Der Ende,United States,1994
Greece,Nigeria,0,,2,,Alkis Panagoulias,Tasos Mitropoulos,Clemens Westerhof,Stephen Keshi,53001,Foxboro Stadium- Boston,Group stage,34515,Leslie Mottram,United States,1994
Argentina,Bulgaria,0,,2,,Alfio Basile,Oscar Ruggeri,Dimitar Penev,Borislav Mikhailov,63998,Cotton Bowl- Dallas,Group stage,34515,Neji Jouini,United States,1994
Morocco,Netherlands,1,,2,,Abdellah Blinda,Tahar El Khalej,Dick Advocaat,Ronald Koeman,60578,Citrus Bowl- Orlando,Group stage,34514,Alberto Tejada Noriega,United States,1994
Belgium,Saudi Arabia,0,,1,,Paul Van Himst,Enzo Scifo,Jorge Solari,Majed Abdullah,52959,RFK Stadium- Washington Dc,Group stage,34514,Hellmut Krug,United States,1994
Italy,Mexico,1,,1,,Arrigo Sacchi,Paolo Maldini,Miguel Mejia Baron,Ignacio Ambríz,52535,RFK Stadium- Washington Dc,Group stage,34513,Francisco Oscar Lamolina,United States,1994
Republic of Ireland,Norway,0,,0,,Jack Charlton,Andy Townsend,Egil Olsen,Rune Bratseth,72404,Giants Stadium- New York/New Jersey,Group stage,34513,Jose Joaquin Torres Cadena,United States,1994
Russia,Cameroon,6,,1,,Pavel Sadyrin,Viktor Onopko,Henri Michel,Stephen Tataw,74914,Stanford Stadium- San Francisco,Group stage,34513,Jamal Al Sharif,United States,1994
Brazil,Sweden,1,,1,,Carlos Alberto Parreira,Raí,Tommy Svensson,Jonas Thern,77217,Pontiac Silverdome- Detroit,Group stage,34513,Sandor Puhl,United States,1994
Germany,Korea Republic,3,,2,,Berti Vogts,Lothar Matthäus,Ho Kon Kim,Choi In-young,63998,Cotton Bowl- Dallas,Group stage,34512,Joel Quiniou,United States,1994
Bolivia,Spain,1,,3,,Xavier Azkargorta Uriarte,Carlos Fernando Borja,Javier Clemente,Andoni Zubizarreta,63089,Soldier Field- Chicago,Group stage,34512,Rodrigo Badilla,United States,1994
Bulgaria,Greece,4,,0,,Dimitar Penev,Borislav Mikhailov,Alkis Panagoulias,Stratos Apostolakis,63160,Soldier Field- Chicago,Group stage,34511,Ali Bujsaim,United States,1994
United States,Romania,0,,1,,Bora Milutinovic,Tony Meola,Anghel Iordanescu,Gheorghe Hagi,93869,Rose Bowl- Los Angeles,Group stage,34511,Mario Van Der Ende,United States,1994
Switzerland,Colombia,0,,2,,Roy Hodgson,Alain Geiger,Francisco Maturana,Carlos Valderrama,83401,Stanford Stadium- San Francisco,Group stage,34511,Peter Mikkelsen,United States,1994
Belgium,Netherlands,1,,0,,Paul Van Himst,Georges Grün,Dick Advocaat,Ronald Koeman,62387,Citrus Bowl- Orlando,Group stage,34510,Renato Marsiglia,United States,1994
Saudi Arabia,Morocco,2,,1,,Jorge Solari,Mohamed Al-Jawad,Abdellah Blinda,Khalil Azmi,76322,Giants Stadium- New York/New Jersey,Group stage,34510,Philip Don,United States,1994
Argentina,Nigeria,2,,1,,Alfio Basile,Diego Maradona,Clemens Westerhof,Peter Rufai,54453,Foxboro Stadium- Boston,Group stage,34510,Bo Karlsson,United States,1994
Mexico,Republic of Ireland,2,,1,,Miguel Mejia Baron,Ignacio Ambríz,Jack Charlton,Andy Townsend,60790,Citrus Bowl- Orlando,Group stage,34509,Kurt Roethlisberger,United States,1994
Brazil,Cameroon,3,,0,,Carlos Alberto Parreira,Raí,Henri Michel,Stephen Tataw,83401,Stanford Stadium- San Francisco,Group stage,34509,Arturo Brizio Carter,United States,1994
Sweden,Russia,3,,1,,Tommy Svensson,Jonas Thern,Pavel Sadyrin,Dmitri Kharine,71528,Pontiac Silverdome- Detroit,Group stage,34509,Joel Quiniou,United States,1994
Italy,Norway,1,,0,,Arrigo Sacchi,Franco Baresi,Egil Olsen,Rune Bratseth,74624,Giants Stadium- New York/New Jersey,Group stage,34508,Hellmut Krug,United States,1994
Korea Republic,Bolivia,0,,0,,Ho Kon Kim,Choi In-young,Xavier Azkargorta Uriarte,Carlos Fernando Borja,54453,Foxboro Stadium- Boston,Group stage,34508,Leslie Mottram,United States,1994
Romania,Switzerland,1,,4,,Anghel Iordanescu,Gheorghe Hagi,Roy Hodgson,Alain Geiger,61428,Pontiac Silverdome- Detroit,Group stage,34507,Neji Jouini,United States,1994
United States,Colombia,2,,1,,Bora Milutinovic,Tony Meola,Francisco Maturana,Carlos Valderrama,93869,Rose Bowl- Los Angeles,Group stage,34507,Fabio Baldas,United States,1994
Argentina,Greece,4,,0,,Alfio Basile,Diego Maradona,Alkis Panagoulias,Dimitris Saravakos,54456,Foxboro Stadium- Boston,Group stage,34506,Arturo Angeles,United States,1994
